RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,churn_probability,predicted_churn,customer_id,segment,age,gender,city,branch_code,annual_income_inr,credit_score,tenure_months,num_products_held,products_held,is_digital_user,preferred_channel,relationship_manager,has_loan,has_credit_card,has_investments,churn_flag,avg_monthly_balance_inr_mean,avg_monthly_balance_inr_std,avg_monthly_balance_inr_min,avg_monthly_balance_inr_max,num_debit_txns_mean,num_debit_txns_sum,num_credit_txns_mean,num_credit_txns_sum,digital_logins_mean,digital_logins_sum,branch_visits_mean,branch_visits_sum,total_complaints,avg_nps,balance_trend_slope,recency_ratio,complaint_month_pct,login_trend_slope,segment_enc,gender_enc,city_enc,branch_code_enc,products_held_enc,preferred_channel_enc,cluster
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.3377437,0,CUST000001,Mass,61.0,F,Ahmedabad,BR041,548818.0,607.0,82.0,2.0,"FD,Credit_Card",1.0,Net_Banking,0.0,0.0,1.0,0.0,0.0,41985.94,10631.185240430412,29191.82,60505.15,13.166666666666666,158.0,4.75,57.0,7.0,84.0,0.5833333333333334,7.0,0.0,6.833333333333333,-882.8916783216783,0.8829078733901249,0.0,-0.1188811188811188,2.0,0.0,0.0,40.0,474.0,2.0,0.0
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.27625248,0,CUST000002,Mass,0.0,0,Spain,0,0.0,608.0,1.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,83807.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.8810796,1,CUST000003,Affluent,0.0,0,France,0,0.0,502.0,8.0,0.0,3 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,159660.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0689311,0,CUST000004,Affluent,34.0,M,Mumbai,BR026,1195580.0,723.0,87.0,5.0,"Current,Loan,FD,Credit_Card,Insurance",0.0,Branch,0.0,1.0,1.0,1.0,0.0,100027.51833333333,22737.517647243418,65665.21,135768.74,15.0,180.0,4.416666666666667,53.0,0.0,0.0,2.083333333333333,25.0,0.0,6.916666666666667,634.604545454546,0.9553752766765272,0.0,0.0,0.0,1.0,6.0,25.0,270.0,0.0,0.0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0.14754717,0,CUST000005,Affluent,0.0,0,Spain,0,0.0,850.0,2.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,125510.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.3136145,0,CUST000006,Affluent,0.0,0,Spain,0,0.0,645.0,8.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,113755.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.029776089,0,CUST000007,Mass,0.0,0,France,0,0.0,822.0,7.0,0.0,2 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9248719,1,CUST000008,Affluent,0.0,0,Germany,0,0.0,376.0,4.0,0.0,4 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,115046.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0.25689238,0,CUST000009,Affluent,58.0,F,Pune,BR014,661894.0,691.0,80.0,2.0,"Credit_Card,Savings",1.0,Branch,0.0,0.0,1.0,0.0,0.0,53825.32,12186.030234896763,33498.99,73860.51,15.833333333333334,190.0,5.25,63.0,8.0,96.0,0.4166666666666667,5.0,1.0,9.166666666666666,-2080.638811188811,0.821921715981958,0.0833333333333333,-0.3146853146853147,0.0,0.0,7.0,13.0,130.0,0.0,0.0
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0.026453618,0,CUST000010,Affluent,0.0,0,France,0,0.0,684.0,2.0,0.0,1 Product(s),0.0,0,0.0,0.0,0.0,0.0,0.0,134603.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
